Order_ID,Order_Date,Ship_Date,Ship_Mode,Segment,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Unit_Price
ORD-2021-00000,2022-05-17,2022-05-19,First Class,Home Office,West,Office Supplies,Paper,43.03,3,0.3,14.11,20.49
ORD-2021-00001,2021-07-11,2021-07-13,Standard Class,Consumer,South,Office Supplies,Paper,79.3,4,0.2,13.43,24.78
ORD-2021-00002,2021-01-14,2021-01-21,First Class,Corporate,East,Office Supplies,Labels,15.02,3,0.3,-0.45,7.15
ORD-2021-00003,2021-07-18,2021-07-21,Same Day,Consumer,West,Technology,Accessories,200.35,6,0.2,58.06,41.74
ORD-2021-00004,2023-01-11,2023-01-16,First Class,Consumer,South,Furniture,Chairs,812.48,4,0.3,177.63,290.17
ORD-2021-00005,2022-07-24,2022-07-28,Same Day,Consumer,East,Furniture,Chairs,1218.54,6,0.0,409.99,203.09
ORD-2021-00006,2021-12-01,2021-12-05,Second Class,Home Office,East,Furniture,Chairs,2274.09,7,0.0,-10.11,324.87
ORD-2021-00007,2021-03-07,2021-03-14,Second Class,Consumer,Central,Office Supplies,Binders,73.66,6,0.1,-1.29,13.64
ORD-2021-00008,2023-03-22,2023-03-28,Same Day,Home Office,East,Office Supplies,Pens,78.64,8,0.0,10.71,9.83
ORD-2021-00009,2023-01-12,2023-01-14,Same Day,Home Office,South,Office Supplies,Pens,25.42,3,0.2,0.79,10.59
ORD-2021-00010,2021-05-11,2021-05-15,Same Day,Home Office,East,Technology,Laptops,5882.24,7,0.2,-218.98,1050.4
ORD-2021-00011,2022-11-28,2022-11-29,First Class,Home Office,West,Office Supplies,Paper,87.8,5,,5.69,19.51
ORD-2021-00012,2022-09-04,2022-09-11,Standard Class,Home Office,East,Office Supplies,Pens,77.33,9,0.2,19.59,10.74
ORD-2021-00013,2021-08-18,2021-08-21,Standard Class,Corporate,Central,Technology,Phones,1379.7,5,0.0,181.3,275.94
ORD-2021-00014,2021-09-20,2021-09-26,Second Class,Consumer,South,Technology,Phones,2218.43,8,0.2,-175.47,346.63
ORD-2021-00015,2022-10-01,2022-10-05,Second Class,Home Office,East,Office Supplies,Labels,50.33,6,0.1,-1.17,9.32
ORD-2021-00016,2022-04-17,2022-04-22,Standard Class,Corporate,West,Technology,Laptops,3020.52,4,0.0,987.71,755.13
ORD-2021-00017,2023-11-19,2023-11-21,Standard Class,Corporate,West,Technology,Phones,1448.34,5,0.3,382.04,413.81
ORD-2021-00018,2022-01-25,2022-01-26,Same Day,Corporate,East,Office Supplies,Labels,11.0,2,0.3,-0.62,7.86
ORD-2021-00019,2022-11-26,2022-12-03,Same Day,Consumer,West,Furniture,Chairs,605.26,2,0.0,59.36,302.63
ORD-2021-00020,2022-05-27,2022-06-03,Same Day,Corporate,East,Technology,Monitors,628.72,2,0.1,77.23,349.29
ORD-2021-00021,2021-12-07,2021-12-11,Second Class,Consumer,West,Technology,Phones,1772.57,8,0.1,548.07,246.19
ORD-2021-00022,2022-06-28,2022-07-05,Same Day,Consumer,South,Technology,Laptops,6877.92,8,0.0,1362.76,859.74
ORD-2021-00023,2022-03-22,2022-03-23,First Class,Consumer,East,Office Supplies,Labels,55.3,10,0.3,7.41,7.9
ORD-2021-00024,2021-04-27,2021-05-02,Second Class,Home Office,South,Technology,Phones,676.82,2,0.0,-11.38,338.41
ORD-2021-00025,2021-03-23,2021-03-28,Second Class,Home Office,West,Technology,Monitors,994.86,2,0.1,247.53,552.7
ORD-2021-00026,2022-05-04,2022-05-07,First Class,Home Office,East,Furniture,Bookcases,1909.18,7,0.0,577.86,272.74
ORD-2021-00027,2021-05-31,2021-06-05,Standard Class,Corporate,West,Furniture,Chairs,926.98,4,0.2,291.85,289.68
ORD-2021-00028,2023-06-17,2023-06-24,Second Class,Corporate,Central,Technology,Laptops,4837.08,9,0.3,-57.11,767.79
